COMPANY_FKEY,RES_NOTIF_KEY,RES_ACCOUNTING,RES_ACC_RES_FKEY_LIST,RES_FRAUD,RES_FRAUD_RES_FKEY_LIST,RES_CLER_ERR,RES_CLER_ERR_FKEY_LIST,RES_ADVERSE,RES_BEGIN_DATE,RES_END_DATE,RES_SEC_INVEST,DATE_OF_8K_402,FORM_FKEY,FILE_DATE
0000018230,47712,1,|19|,0,,0,,1,01/01/2013,30/09/2013,0,,10-Q,01/08/2014
0000018230,46719,1,|26|,0,,0,,1,01/10/2013,31/12/2013,0,,10-Q,01/08/2014
0000018498,43435,1,|17|,0,,0,,0,01/02/2008,04/05/2013,0,12/09/2013,Press Release,29/08/2013
0000018808,7008,1,|10|19|26|,0,,0,,1,01/01/2002,31/12/2004,0,14/03/2006,8-K,14/03/2006
0000018926,47009,1,|3|7|10|18|45|,0,,0,,0,01/01/2011,31/12/2013,0,,10-K,27/02/2014
0000019353,42580,1,|10|18|,0,,0,,1,01/02/2008,31/10/2008,0,,10-K,01/04/2009
0000019411,6862,1,|18|28|,0,,0,,1,01/01/2004,30/09/2005,0,08/03/2006,Press Release,07/03/2006
0000019731,6858,1,|18|,0,,0,,0,01/01/2003,30/09/2005,0,07/03/2006,8-K,07/03/2006
0000020212,22730,1,|4|11|,0,,0,,1,01/01/2004,31/12/2006,0,,10-K/A,31/10/2007
0000020740,44926,1,|19|,0,,0,,1,01/12/2010,31/08/2013,0,,10-K,24/01/2014
0000021510,21693,1,|17|48|,0,,0,,1,01/10/1994,01/04/2006,0,02/10/2007,8-K,01/11/2006
0000021510,29253,1,|19|,0,,0,,1,01/10/2005,29/03/2008,0,,10-Q,07/08/2008
0000022444,46365,1,|19|,0,,0,,1,01/09/2012,28/02/2013,0,,10-Q,31/03/2014
0000022551,24612,1,|13|,0,,0,,1,01/01/2006,31/12/2006,0,,10-K/A,12/02/2008
0000022551,27252,1,|3|23|,0,,0,,0,01/04/2008,30/06/2008,0,,10-Q/A,04/11/2008
0000022551,36417,1,|3|4|14|,0,,0,,0,01/01/2010,30/06/2011,0,24/10/2011,Press Release,24/10/2011
0000022551,49964,1,|6|13|,0,,0,,1,01/01/2010,31/12/2010,0,,10-K,16/04/2012
0000023217,9986,1,|11|12|18|,0,,0,,1,01/06/1998,29/05/2001,1,,10-K/A,28/07/2006
0000023217,48234,1,|19|,0,,0,,0,01/06/2013,25/05/2014,0,,10-Q,29/12/2014
0000023666,11983,1,|10|12|18|19|69|,0,,0,,1,01/07/2003,02/07/2005,0,,10-K,14/09/2006
0000023666,53015,1,|4|,0,,0,,1,01/05/2004,30/06/2007,0,,10-K,27/08/2008
