feature,fi_sapso_split,fi_sapso_gain
SIC_4011.0,0,0.0
SIC_4213.0,0,0.0
SIC_4512.0,0,0.0
SIC_4813.0,0,0.0
SIC_4888.0,0,0.0
SIC_4922.0,0,0.0
SIC_4923.0,0,0.0
SIC_4924.0,0,0.0
SIC_4955.0,0,0.0
SIC_5000.0,0,0.0
SIC_5010.0,0,0.0
SIC_5013.0,0,0.0
SIC_5047.0,0,0.0
SIC_5051.0,0,0.0
SIC_5110.0,0,0.0
SIC_5140.0,0,0.0
SIC_5172.0,0,0.0
SIC_5180.0,0,0.0
SIC_5211.0,0,0.0
SIC_5500.0,0,0.0
SIC_5531.0,0,0.0
SIC_6099.0,0,0.0
SIC_6141.0,0,0.0
SIC_6163.0,0,0.0
SIC_6282.0,0,0.0
SIC_6324.0,0,0.0
SIC_6361.0,0,0.0
SIC_6411.0,0,0.0
SIC_6512.0,0,0.0
SIC_6531.0,0,0.0
SIC_6798.0,0,0.0
SIC_6799.0,0,0.0
SIC_7323.0,0,0.0
SIC_7340.0,0,0.0
SIC_7359.0,0,0.0
SIC_7361.0,0,0.0
SIC_7370.0,2,3.5393998622894287
SIC_7372.0,2,3.117129921913147
SIC_7373.0,0,0.0
SIC_7380.0,0,0.0
SIC_7381.0,0,0.0
SIC_7510.0,0,0.0
SIC_7812.0,0,0.0
SIC_7830.0,0,0.0
SIC_8011.0,0,0.0
SIC_8051.0,0,0.0
SIC_8062.0,0,0.0
SIC_8082.0,0,0.0
SIC_8711.0,0,0.0
SIC_8741.0,0,0.0
