cik,fraud,res,year
884940,0,1,2011.0
885245,0,1,2003.0
885639,0,1,2010.0
885988,0,1,2005.0
885988,0,1,2007.0
886035,0,1,2011.0
886035,1,1,2012.0
886163,0,1,2011.0
886206,0,1,2007.0
886432,0,1,2006.0
886475,0,1,2005.0
887226,0,1,2006.0
888953,0,1,2006.0
889331,0,1,2013.0
890465,0,1,2007.0
890801,0,1,2005.0
890923,1,0,2006.0
891103,0,1,2010.0
891178,0,1,2004.0
891532,0,1,2011.0
892025,0,1,2006.0
892160,0,1,2005.0
893949,0,1,2005.0
894081,0,1,2006.0
895041,0,1,2006.0
895642,0,1,2008.0
895642,0,1,2010.0
896264,0,1,2007.0
896841,0,1,2011.0
897723,0,1,2005.0
898293,0,1,2004.0
899723,0,1,2012.0
899751,0,1,2010.0
900708,0,1,2005.0
900708,0,1,2009.0
901491,0,1,2011.0
902272,0,1,2006.0
902791,0,1,2009.0
903571,0,1,2005.0
903651,0,1,2008.0
906282,0,1,2004.0
906326,0,1,2005.0
906326,0,1,2006.0
907687,0,1,2004.0
908598,0,1,2014.0
908652,0,1,2004.0
908652,0,1,2009.0
910329,0,1,2007.0
910329,0,1,2008.0
910521,0,1,2006.0
910638,0,1,2005.0
912603,0,1,2005.0
912833,0,1,2005.0
912833,0,1,2006.0
913077,0,1,2005.0
913165,0,1,2005.0
914024,0,1,2004.0
914024,0,1,2005.0
914024,0,1,2006.0
914024,0,1,2007.0
914712,0,1,2011.0
916235,0,1,2005.0
917273,0,1,2005.0
917968,0,1,2005.0
918112,0,1,2005.0
918251,0,1,2005.0
918646,0,1,2010.0
918965,0,1,2005.0
919013,0,1,2010.0
919628,0,1,2005.0
922475,0,1,2004.0
922475,0,1,2012.0
924383,0,1,2004.0
924383,0,1,2007.0
924717,0,1,2010.0
926423,0,1,2004.0
927417,0,1,2009.0
928022,0,1,2009.0
928659,0,1,2005.0
929887,0,1,2005.0
929940,0,1,2005.0
929940,0,1,2006.0
930184,0,1,2005.0
932372,0,1,2006.0
932696,0,1,2005.0
932696,0,1,2007.0
933974,0,1,2004.0
934549,0,1,2011.0
935036,0,1,2005.0
935036,0,1,2008.0
935226,0,1,2008.0
939930,0,1,2006.0
939930,0,1,2007.0
943184,0,1,2006.0
943184,0,1,2009.0
943184,0,1,2012.0
944480,0,1,2008.0
944765,0,1,2004.0
944765,0,1,2006.0
945436,0,1,2004.0
945989,0,1,2005.0
945989,0,1,2006.0
946581,0,1,2005.0
946842,0,1,2008.0
948072,0,1,2008.0
948708,0,1,2006.0
948846,0,1,2006.0
949157,0,1,2008.0
949158,0,1,2004.0
1000230,0,1,2006.0
1001385,0,1,2008.0
1001385,0,1,2010.0
1001426,0,1,2005.0
1002037,0,1,2005.0
1002531,0,1,2004.0
1003022,0,1,2004.0
1003130,0,1,2005.0
1004673,0,1,2006.0
1004724,0,1,2012.0
1005010,1,1,2007.0
1006045,0,1,2006.0
1006459,0,1,2006.0
1006892,0,1,2010.0
1007330,0,1,2006.0
1008817,0,1,2005.0
1008817,0,1,2012.0
1009304,0,1,2006.0
1009356,0,1,2013.0
1010086,0,1,2009.0
1010086,0,1,2011.0
1011064,0,1,2005.0
1011064,0,1,2007.0
1011290,0,1,2012.0
1011509,0,1,2005.0
1013880,0,1,2006.0
1014473,0,1,2004.0
1017968,1,0,2009.0
1018005,0,1,2005.0
1019034,0,1,2004.0
1019849,0,1,2004.0
1020017,0,1,2005.0
1020017,0,1,2008.0
1020416,0,1,2004.0
1021561,0,1,2014.0
1021860,0,1,2003.0
1022646,0,1,2008.0
1023313,0,1,2005.0
1023362,0,1,2009.0
1023364,0,1,2009.0
1023734,0,1,2004.0
1023844,0,1,2009.0
1024022,0,1,2005.0
1024452,0,1,2011.0
1027207,0,1,2005.0
1027702,0,1,2005.0
1027884,0,1,2005.0
1028153,0,1,2005.0
1028153,0,1,2004.0
1028153,0,1,2009.0
1029506,0,1,2010.0
1030339,0,1,2008.0
1030471,0,1,2004.0
1030471,0,1,2005.0
1030484,0,1,2006.0
1031203,0,1,2004.0
1031296,0,1,2006.0
1032067,0,1,2005.0
1032863,0,1,2003.0
1032863,0,1,2007.0
1039280,0,1,2007.0
1039399,0,1,2006.0
1040593,0,1,2004.0
1040593,0,1,2007.0
1040593,0,1,2008.0
1040593,0,1,2010.0
1041657,0,1,2004.0
1041657,0,1,2009.0
1041657,0,1,2011.0
1041657,0,1,2012.0
1041859,0,1,2004.0
1042134,0,1,2005.0
1042187,0,1,2004.0
1042431,0,1,2005.0
1043509,0,1,2011.0
1043604,0,1,2005.0
1044435,0,1,2005.0
1044435,0,1,2013.0
1044590,0,1,2006.0
1045280,0,1,2007.0
1045742,0,1,2006.0
1045810,0,1,2005.0
1046880,0,1,2011.0
1046995,0,1,2006.0
1046995,0,1,2010.0
1047127,0,1,2005.0
1047881,0,1,2005.0
1048268,0,1,2005.0
1048268,0,1,2008.0
1048268,0,1,2010.0
1048695,0,1,2005.0
1049210,0,1,2011.0
1049505,0,1,2008.0
1050915,0,1,2006.0
1051512,0,1,2005.0
1052054,0,1,2011.0
1053507,0,1,2005.0
1054374,0,1,2005.0
1055454,0,1,2013.0
1056696,0,1,2003.0
1057060,0,1,2004.0
1057083,0,1,2009.0
1057379,1,0,2005.0
1057758,0,1,2010.0
1058057,1,1,2005.0
1058811,0,1,2007.0
1058811,0,1,2008.0
1059324,0,1,2010.0
1059341,0,1,2007.0
1059786,0,1,2005.0
1060822,1,0,2008.0
1060990,0,1,2008.0
1060990,0,1,2012.0
1062530,0,1,2004.0
1062530,0,1,2009.0
1063537,0,1,2007.0
1065049,0,1,2012.0
1065860,0,1,2011.0
1066104,0,1,2008.0
1068717,0,1,2012.0
1068875,0,1,2010.0
1069258,1,0,2005.0
1069394,0,1,2005.0
1069469,0,1,2006.0
1069878,0,1,2008.0
1070380,1,1,2010.0
1074909,0,1,2013.0
1075531,0,1,2006.0
1076930,0,1,2007.0
1077552,0,1,2006.0
1078099,0,1,2006.0
1078271,0,1,2005.0
1080034,0,1,2004.0
1080056,0,1,2007.0
1082754,0,1,2010.0
1083712,0,1,2006.0
1084755,0,1,2006.0
1085734,0,1,2004.0
1086939,0,1,2004.0
1087432,0,1,2011.0
1087934,1,0,2006.0
1088033,0,1,2005.0
1088787,0,1,2008.0
1090514,1,0,2010.0
1090908,0,1,2005.0
1091596,0,1,2009.0
1091735,0,1,2009.0
1091756,0,1,2005.0
1092367,0,1,2005.0
1093434,0,1,2006.0
1094084,0,1,2010.0
1094348,0,1,2010.0
1094739,0,1,2005.0
1094814,0,1,2005.0
1096142,0,1,2013.0
1096481,0,1,2008.0
1096788,0,1,2009.0
1097264,0,1,2011.0
1098277,0,1,2008.0
1098482,0,1,2008.0
1099800,0,1,2011.0
1103025,0,1,2010.0
1103837,0,1,2005.0
1104657,0,1,2013.0
1105705,0,1,2005.0
1107332,0,1,2006.0
1108058,0,1,2005.0
1108320,0,1,2011.0
1108320,0,1,2012.0
1108967,0,1,2009.0
1109116,0,1,2008.0
1109879,0,1,2006.0
1110647,0,1,2011.0
1110783,0,1,2009.0
1111632,0,1,2004.0
1112920,0,1,2005.0
1112920,0,1,2007.0
1113668,0,1,2006.0
1114483,0,1,2004.0
1115836,0,1,2005.0
1117171,0,1,2004.0
1117171,0,1,2005.0
1120096,0,1,2006.0
1120295,0,1,2005.0
1120295,0,1,2013.0
1120370,0,1,2008.0
1120970,0,1,2010.0
1122904,0,1,2009.0
1122976,0,1,2005.0
1124827,0,1,2005.0
1124827,0,1,2006.0
1125536,0,1,2006.0
1129155,0,1,2009.0
1130166,0,1,2006.0
1130166,0,1,2008.0
1130713,0,1,2007.0
1131096,0,1,2008.0
1131907,0,1,2009.0
1134203,0,1,2007.0
1135711,0,1,2011.0
1137031,0,1,2006.0
1137204,0,1,2010.0
1137204,0,1,2011.0
1137469,0,1,2006.0
1138804,0,1,2006.0
1140098,0,1,2005.0
1140098,0,1,2006.0
1140098,0,1,2012.0
1140310,0,1,2008.0
1141240,0,1,2005.0
1141240,0,1,2010.0
1144320,0,1,2009.0
1144519,0,1,2007.0
1144980,0,1,2002.0
1145460,0,1,2007.0
1157762,0,1,2009.0
1157780,0,1,2006.0
1160165,0,1,2008.0
1160791,0,1,2012.0
1160858,0,1,2006.0
1162862,0,1,2007.0
1166036,0,1,2006.0
1166220,0,1,2006.0
1166380,0,1,2008.0
1166388,0,1,2004.0
1172852,0,1,2007.0
1173514,0,1,2004.0
1178575,0,1,2007.0
1210618,0,1,2010.0
1210618,0,1,2012.0
1210708,0,1,2006.0
1210708,0,1,2007.0
1213809,0,1,2006.0
1226308,0,1,2003.0
1227025,0,1,2012.0
1228068,0,1,2005.0
1239188,0,1,2010.0
1259550,0,1,2009.0
1259550,0,1,2011.0
1260221,0,1,2008.0
1260996,0,1,2008.0
1261888,0,1,2006.0
1261888,1,0,2010.0
1267130,0,1,2005.0
1273441,0,1,2006.0
1275014,0,1,2008.0
1276591,0,1,2008.0
1277092,0,1,2006.0
1279363,0,1,2006.0
1281922,0,1,2006.0
1281922,0,1,2012.0
1282648,0,1,2006.0
1283552,0,1,2009.0
1285043,0,1,2012.0
1288359,0,1,2009.0
1288741,0,1,2009.0
1289550,0,1,2004.0
1289848,0,1,2008.0
1289850,0,1,2005.0
1289945,0,1,2003.0
1289945,0,1,2007.0
1289945,0,1,2011.0
1292055,0,1,2006.0
1293282,0,1,2007.0
1293593,0,1,2005.0
1293593,0,1,2006.0
1296445,0,1,2008.0
1297704,0,1,2007.0
1299139,0,1,2007.0
1301206,0,1,2006.0
1303313,0,1,2007.0
1303849,0,1,2011.0
1304901,0,1,2006.0
1304901,0,1,2008.0
1305294,0,1,2011.0
1307954,0,1,2006.0
1311486,0,1,2012.0
1312073,0,1,2006.0
1314772,0,1,2008.0
1315255,0,1,2005.0
1316898,0,1,2005.0
1318310,0,1,2005.0
1318605,0,1,2011.0
1320695,0,1,2006.0
1320947,0,1,2010.0
1320947,0,1,2012.0
1323468,0,1,2005.0
1323468,0,1,2013.0
1325460,0,1,2005.0
1325702,0,1,2012.0
1326583,0,1,2005.0
1335190,0,1,2006.0
1336545,0,1,2008.0
1337013,0,1,2005.0
1340282,0,1,2005.0
1340786,0,1,2005.0
1349436,0,1,2013.0
1350593,0,1,2004.0
1352045,0,1,2007.0
1354942,0,1,2007.0
1355128,0,1,2011.0
1357615,0,1,2013.0
1364541,0,1,2007.0
1365790,0,1,2006.0
1366246,0,1,2012.0
1368148,0,1,2007.0
1368308,0,1,2006.0
