,cik,year,Topic_Q1,Topic_Q2,Topic_Q3,Topic_Q4,Topic_MDA
5357,1388195.0,2011,0,0,0,0,34
5358,1388195.0,2012,0,0,0,0,34
5359,1388195.0,2013,0,0,0,0,34
5360,1388430.0,2010,-1,27,23,-1,17
5361,1388430.0,2011,-1,27,23,-1,17
5362,1388430.0,2012,-1,27,23,-1,17
5363,1388430.0,2013,-1,27,23,-1,17
5364,1389002.0,2013,2,-1,1,24,-1
5365,1389050.0,2008,-1,-1,-1,-1,0
5366,1389050.0,2009,-1,-1,-1,-1,0
5367,1389050.0,2011,17,1,-1,1,0
5368,1389050.0,2012,20,-1,-1,-1,0
5369,1389050.0,2013,-1,1,-1,-1,0
5370,1389072.0,2011,0,0,0,0,1
5371,1389072.0,2012,0,0,0,0,1
5372,1389072.0,2013,0,0,0,0,1
5373,1389170.0,2012,17,1,-1,1,0
5374,1389170.0,2013,17,1,3,1,0
5375,1389305.0,2009,-1,-1,-1,37,-1
5376,1389305.0,2010,-1,-1,5,-1,-1
5377,1389305.0,2011,-1,14,5,37,-1
5378,1390844.0,2009,-1,-1,-1,-1,12
5379,1390844.0,2011,-1,-1,5,12,12
5380,1390844.0,2012,4,3,5,-1,12
5381,1390844.0,2013,4,-1,-1,-1,12
5382,1391127.0,2008,-1,-1,1,2,-1
5383,1391127.0,2009,2,-1,1,-1,2
5384,1391127.0,2010,-1,14,-1,-1,2
5385,1391127.0,2011,-1,2,-1,-1,-1
5386,1391127.0,2012,2,-1,1,2,-1
5387,1391127.0,2013,2,-1,-1,2,2
5388,1391390.0,2009,13,8,-1,-1,6
5389,1391390.0,2010,13,-1,19,-1,6
5390,1391390.0,2011,-1,-1,19,-1,6
5391,1391390.0,2012,-1,-1,19,23,6
5392,1392091.0,2013,17,1,3,1,0
5393,1392972.0,2009,-1,-1,16,-1,2
5394,1392972.0,2011,2,14,-1,6,2
5395,1392972.0,2012,15,13,16,6,2
5396,1392972.0,2013,2,-1,-1,6,2
5397,1393066.0,2012,13,8,19,23,6
5398,1393066.0,2013,13,8,19,23,6
5399,1393744.0,2008,5,28,-1,9,19
5400,1393744.0,2009,5,-1,-1,-1,19
5401,1393744.0,2011,-1,-1,-1,-1,19
5402,1394156.0,2013,12,16,10,10,14
5403,1394159.0,2008,23,20,18,15,21
5404,1394159.0,2010,23,20,-1,15,21
5405,1394159.0,2011,28,20,18,15,21
5406,1394159.0,2013,23,20,18,15,21
5407,1394954.0,2012,1,-1,-1,-1,8
5408,1394954.0,2013,1,-1,-1,-1,8
5409,1396033.0,2009,3,6,-1,3,7
5410,1396033.0,2010,3,6,2,3,7
5411,1396033.0,2011,3,-1,-1,3,7
5412,1396033.0,2012,3,6,2,3,7
5413,1396033.0,2013,3,6,2,-1,7
5414,1396546.0,2008,33,-1,-1,3,4
5415,1397821.0,2008,2,-1,-1,6,-1
5416,1397821.0,2009,-1,-1,13,6,-1
5417,1397821.0,2010,15,36,-1,-1,-1
5418,1398659.0,2008,-1,36,-1,-1,-1
5419,1398659.0,2009,2,3,9,-1,-1
5420,1398659.0,2010,2,3,9,-1,-1
5421,1398659.0,2011,2,-1,9,-1,-1
5422,1398659.0,2012,-1,24,9,6,-1
5423,1398659.0,2013,15,24,-1,6,-1
5424,1401257.0,2012,-1,-1,8,1,0
5425,1401257.0,2013,-1,1,8,18,0
5426,1401688.0,2011,-1,6,17,24,6
5427,1401688.0,2012,-1,-1,2,24,6
5428,1401688.0,2013,11,6,17,24,6
5429,1402057.0,2011,24,-1,6,-1,-1
5430,1402057.0,2012,2,23,-1,2,-1
5431,1402057.0,2013,-1,12,6,-1,-1
5432,1402305.0,2008,-1,-1,-1,5,2
5433,1402305.0,2009,2,-1,16,2,-1
5434,1402305.0,2010,-1,-1,-1,2,-1
5435,1402305.0,2011,2,14,16,2,-1
5436,1402436.0,2010,34,12,16,-1,-1
5437,1402436.0,2011,-1,-1,-1,-1,-1
5438,1402436.0,2012,-1,12,16,-1,-1
5439,1402436.0,2013,-1,2,16,-1,-1
5440,1402829.0,2009,-1,10,-1,1,-1
5441,1402829.0,2011,-1,10,-1,9,-1
5442,1402829.0,2012,-1,35,-1,9,-1
5443,1402829.0,2013,-1,35,-1,9,-1
5444,1403431.0,2013,30,1,-1,-1,0
5445,1403853.0,2011,-1,1,3,-1,0
5446,1403853.0,2012,-1,1,-1,1,0
5447,1403853.0,2013,-1,-1,-1,-1,0
5448,1405073.0,2011,6,1,-1,1,0
5449,1405073.0,2012,6,1,3,1,0
5450,1405073.0,2013,6,1,-1,1,0
5451,1405277.0,2009,2,15,-1,2,-1
5452,1405277.0,2010,-1,-1,-1,2,-1
5453,1405277.0,2011,7,-1,1,2,-1
5454,1405277.0,2012,7,-1,-1,2,-1
5455,1405277.0,2013,2,-1,-1,-1,-1
5456,1405495.0,2008,1,29,30,31,4
5457,1405495.0,2010,-1,29,30,31,4
5458,1405495.0,2012,37,-1,-1,31,4
5459,1405495.0,2013,37,29,-1,31,4
5460,1406666.0,2011,-1,-1,-1,-1,-1
5461,1406666.0,2012,4,-1,-1,-1,-1
5462,1406666.0,2013,-1,2,-1,-1,-1
5463,1407038.0,2013,0,0,0,0,1
5464,1407463.0,2009,-1,1,3,1,0
5465,1407463.0,2011,6,1,-1,1,0
5466,1407463.0,2012,-1,1,3,1,0
5467,1408198.0,2012,-1,12,13,6,-1
5468,1408198.0,2013,-1,36,9,6,2
5469,1410172.0,2009,1,5,1,-1,-1
5470,1410172.0,2010,1,5,1,19,-1
5471,1410172.0,2011,1,5,1,19,-1
5472,1410172.0,2012,1,5,1,19,-1
5473,1410172.0,2013,1,5,1,19,-1
5474,1410471.0,2008,0,0,0,0,11
5475,1410471.0,2010,0,0,0,0,11
5476,1410471.0,2011,0,0,0,0,11
5477,1410471.0,2012,0,0,0,0,11
5478,1410471.0,2013,0,0,0,0,11
5479,1410636.0,2010,-1,2,38,34,15
5480,1410636.0,2011,5,4,38,34,15
5481,1410636.0,2012,5,4,38,34,15
5482,1410636.0,2013,10,4,3,34,15
