,cik,year
418,1062231.0,2013
421,1028087.0,2010
423,704415.0,2008
424,704415.0,2009
425,704415.0,2010
426,704415.0,2011
427,704415.0,2012
428,704415.0,2013
431,1114200.0,2009
432,1114200.0,2010
434,1521952.0,2008
435,1521952.0,2009
436,1521952.0,2010
437,1521952.0,2011
438,1521952.0,2012
439,1521952.0,2013
440,1305168.0,2008
441,1305168.0,2009
442,1305168.0,2010
443,1305168.0,2011
444,1305168.0,2012
445,1305168.0,2013
448,804269.0,2009
450,1064863.0,2008
451,1064863.0,2009
452,1064863.0,2010
453,1064863.0,2011
455,1018979.0,2008
456,1018979.0,2009
457,1018979.0,2010
458,1018979.0,2011
459,1018979.0,2012
460,1018979.0,2013
461,731269.0,2008
462,731269.0,2009
463,731269.0,2010
464,731269.0,2011
465,731269.0,2012
466,731269.0,2013
467,318154.0,2008
468,318154.0,2009
470,318154.0,2011
471,318154.0,2012
472,318154.0,2013
473,1142750.0,2008
474,1142750.0,2009
475,1142750.0,2010
476,1142750.0,2011
477,1142750.0,2012
478,1142750.0,2013
479,820313.0,2008
480,820313.0,2009
482,820313.0,2011
483,820313.0,2012
484,820313.0,2013
485,881464.0,2008
486,881464.0,2009
487,881464.0,2010
488,881464.0,2011
491,940332.0,2009
492,940332.0,2010
493,940332.0,2011
494,940332.0,2012
495,940332.0,2013
498,1096481.0,2011
502,874214.0,2010
503,874214.0,2011
504,874214.0,2012
505,874214.0,2013
508,1057379.0,2010
509,1057379.0,2011
510,1057379.0,2012
511,1057379.0,2013
512,1013462.0,2008
513,1013462.0,2009
514,1013462.0,2010
515,1013462.0,2011
516,1013462.0,2012
517,1013462.0,2013
518,320193.0,2008
519,320193.0,2009
520,320193.0,2010
521,320193.0,2011
522,320193.0,2012
523,320193.0,2013
525,711065.0,2009
526,711065.0,2010
527,711065.0,2011
529,711065.0,2013
532,873399.0,2011
533,873399.0,2012
536,1080709.0,2008
537,1080709.0,2009
538,1080709.0,2010
539,1080709.0,2011
541,1080709.0,2013
543,884731.0,2008
544,884731.0,2009
545,884731.0,2010
546,884731.0,2011
547,884731.0,2012
548,884731.0,2013
550,1084755.0,2009
551,1084755.0,2010
552,1084755.0,2011
555,7302.0,2009
556,7302.0,2010
557,7302.0,2011
558,7302.0,2012
559,7302.0,2013
560,1019695.0,2008
561,1019695.0,2009
562,1019695.0,2010
563,1019695.0,2011
564,1019695.0,2012
565,1019695.0,2013
567,1100412.0,2009
568,1100412.0,2010
569,1100412.0,2011
570,1100412.0,2012
571,1100412.0,2013
572,1086195.0,2008
573,1086195.0,2009
576,1005010.0,2010
577,1005010.0,2011
578,1005010.0,2012
580,1144980.0,2008
581,1144980.0,2009
582,1144980.0,2010
583,1144980.0,2011
584,1144980.0,2012
585,1144980.0,2013
587,1100969.0,2009
588,1100969.0,2010
589,1100969.0,2011
590,1100969.0,2012
596,929940.0,2010
597,929940.0,2011
598,929940.0,2012
599,929940.0,2013
601,1478813.0,2011
602,1478813.0,2012
603,1478813.0,2013
609,1368148.0,2011
610,1368148.0,2012
611,1368148.0,2013
614,750004.0,2008
615,750004.0,2009
616,750004.0,2010
617,750004.0,2011
618,750004.0,2012
619,750004.0,2013
621,866787.0,2009
622,866787.0,2010
623,866787.0,2011
624,866787.0,2012
625,866787.0,2013
626,1056794.0,2008
630,896841.0,2008
631,896841.0,2009
632,896841.0,2010
633,896841.0,2011
644,1453015.0,2011
645,1453015.0,2012
646,1453015.0,2013
651,861361.0,2008
652,861361.0,2009
653,861361.0,2010
654,861361.0,2011
655,861361.0,2012
656,861361.0,2013
661,882796.0,2011
662,882796.0,2012
663,882796.0,2013
664,1048477.0,2008
665,1048477.0,2009
666,1048477.0,2010
667,1048477.0,2011
668,1048477.0,2012
670,1412067.0,2011
671,1412067.0,2012
672,1412067.0,2013
676,818813.0,2010
680,849547.0,2010
681,849547.0,2011
682,849547.0,2012
683,849547.0,2013
684,1106942.0,2008
685,1106942.0,2009
686,1106942.0,2010
690,835729.0,2008
691,835729.0,2009
692,835729.0,2010
693,835729.0,2011
694,835729.0,2012
696,1129929.0,2010
697,1129929.0,2011
698,1129929.0,2012
699,1129929.0,2013
700,908255.0,2008
701,908255.0,2009
702,908255.0,2010
703,908255.0,2011
704,908255.0,2012
705,908255.0,2013
709,1034755.0,2008
711,1034755.0,2010
714,1060559.0,2013
717,14272.0,2010
718,14272.0,2011
719,14272.0,2012
720,14272.0,2013
722,1086909.0,2011
723,1086909.0,2012
724,1086909.0,2013
727,920448.0,2012
728,920448.0,2013
731,1009626.0,2010
732,1009626.0,2011
733,1009626.0,2012
734,1009626.0,2013
736,1611212.0,2011
738,1054721.0,2011
739,1054721.0,2012
740,1054721.0,2013
742,840883.0,2011
743,840883.0,2012
744,840883.0,2013
745,740761.0,2008
746,740761.0,2009
747,740761.0,2010
748,1267130.0,2008
749,1267130.0,2009
750,1267130.0,2010
751,1267130.0,2011
752,1267130.0,2012
753,1267130.0,2013
754,1053112.0,2008
755,1053112.0,2009
756,1053112.0,2010
757,1053112.0,2011
758,1053112.0,2012
759,1053112.0,2013
761,1095600.0,2009
762,1095600.0,2010
763,1095600.0,2011
767,813672.0,2010
768,813672.0,2011
769,813672.0,2012
770,813672.0,2013
772,789356.0,2009
773,789356.0,2010
776,1014672.0,2009
777,1014672.0,2010
779,837465.0,2008
780,837465.0,2009
781,837465.0,2010
782,837465.0,2011
783,837465.0,2012
784,837465.0,2013
789,1035748.0,2012
790,1035748.0,2013
793,1009759.0,2010
794,1009759.0,2011
795,1009759.0,2012
796,1009759.0,2013
806,799088.0,2010
807,799088.0,2011
808,799088.0,2012
809,799088.0,2013
810,1080131.0,2008
811,1080131.0,2009
814,911177.0,2009
815,911177.0,2010
816,911177.0,2011
817,911177.0,2012
818,911177.0,2013
820,865941.0,2009
822,865941.0,2011
823,865941.0,2012
824,865941.0,2013
826,1030894.0,2009
828,1030894.0,2011
829,1030894.0,2012
830,1030894.0,2013
835,891293.0,2011
836,891293.0,2012
837,891293.0,2013
840,723612.0,2008
841,723612.0,2009
842,723612.0,2010
843,723612.0,2011
844,723612.0,2012
845,723612.0,2013
846,1071739.0,2008
847,1071739.0,2009
848,1071739.0,2010
849,1071739.0,2011
850,1071739.0,2012
851,1071739.0,2013
852,879573.0,2008
854,873364.0,2008
855,873364.0,2009
856,873364.0,2010
858,1037760.0,2009
859,1037760.0,2010
860,1037760.0,2011
861,1037760.0,2012
862,1037760.0,2013
864,1020214.0,2011
865,1020214.0,2012
866,1020214.0,2013
870,1015922.0,2010
871,1015922.0,2011
872,1015922.0,2012
873,1015922.0,2013
874,1058090.0,2008
875,1058090.0,2009
876,1058090.0,2010
877,1058090.0,2011
878,1058090.0,2012
879,1058090.0,2013
881,1042134.0,2009
886,936395.0,2008
887,936395.0,2009
889,936395.0,2011
890,936395.0,2012
891,936395.0,2013
893,926617.0,2011
894,926617.0,2012
895,926617.0,2013
897,866374.0,2009
898,866374.0,2010
899,866374.0,2011
900,866374.0,2012
901,866374.0,2013
903,772406.0,2009
904,772406.0,2010
905,772406.0,2011
906,772406.0,2012
907,772406.0,2013
908,877890.0,2008
909,877890.0,2009
911,877890.0,2011
912,877890.0,2012
913,877890.0,2013
916,822818.0,2010
917,822818.0,2011
918,822818.0,2012
919,822818.0,2013
922,914712.0,2010
923,914712.0,2011
926,21344.0,2008
927,21344.0,2009
928,21344.0,2010
929,21344.0,2011
930,21344.0,2012
931,21344.0,2013
932,851205.0,2008
933,851205.0,2009
934,851205.0,2010
935,851205.0,2011
936,851205.0,2012
937,851205.0,2013
938,941604.0,2008
939,941604.0,2009
940,941604.0,2010
941,941604.0,2011
942,941604.0,2012
943,941604.0,2013
944,1323653.0,2008
945,1323653.0,2009
946,1323653.0,2010
947,1323653.0,2011
948,1323653.0,2012
951,1517228.0,2008
952,1517228.0,2009
955,1412824.0,2008
956,1412824.0,2009
957,1412824.0,2010
958,1412824.0,2011
959,1412824.0,2012
960,1412824.0,2013
964,1169561.0,2011
965,1169561.0,2012
966,1169561.0,2013
970,859014.0,2010
971,859014.0,2011
972,859014.0,2012
973,859014.0,2013
976,23217.0,2008
977,23217.0,2009
978,23217.0,2010
979,23217.0,2011
980,23217.0,2012
981,23217.0,2013
982,896778.0,2008
983,896778.0,2009
984,896778.0,2010
985,896778.0,2011
986,896778.0,2012
988,1358071.0,2009
989,1358071.0,2010
990,1358071.0,2011
991,1358071.0,2012
992,1358071.0,2013
993,1066026.0,2008
994,1066026.0,2009
995,1066026.0,2010
996,1066026.0,2011
997,1066026.0,2012
998,1066026.0,2013
1001,768835.0,2010
1002,768835.0,2011
1003,768835.0,2012
1004,768835.0,2013
1010,900075.0,2010
1011,900075.0,2011
1012,900075.0,2012
1013,900075.0,2013
1015,1066134.0,2009
1016,1066134.0,2010
1017,1066134.0,2011
1018,1066134.0,2012
1019,1066134.0,2013
1023,1171014.0,2010
1024,1171014.0,2011
1025,1171014.0,2012
1026,1171014.0,2013
1028,884713.0,2011
1029,884713.0,2012
1030,884713.0,2013
1031,867440.0,2008
1032,867440.0,2009
1033,867440.0,2010
1034,867440.0,2011
1037,737300.0,2011
1038,737300.0,2012
1039,737300.0,2013
1042,1108205.0,2011
1043,1108205.0,2012
1044,1108205.0,2013
1046,1141103.0,2008
1047,1141103.0,2009
1048,1141103.0,2010
1049,1141103.0,2011
1050,1141103.0,2012
1051,1141103.0,2013
1052,868809.0,2008
1055,1093207.0,2011
1056,1093207.0,2012
1057,1093207.0,2013
1058,1609942.0,2008
1060,1609942.0,2010
1061,1609942.0,2011
1062,1609942.0,2012
1063,1609942.0,2013
1064,25890.0,2008
1065,25890.0,2009
1066,25890.0,2010
1067,25890.0,2011
1068,25890.0,2012
1069,25890.0,2013
1071,784199.0,2009
1073,784199.0,2011
1074,784199.0,2012
1075,784199.0,2013
1076,1005757.0,2008
1077,1005757.0,2009
1078,1005757.0,2010
1079,1005757.0,2011
1080,1005757.0,2012
1081,1005757.0,2013
1082,912183.0,2008
1083,912183.0,2009
1084,912183.0,2010
1085,912183.0,2011
1086,912183.0,2012
1087,912183.0,2013
1089,1058623.0,2009
1090,1058623.0,2010
1091,1058623.0,2011
1092,1058623.0,2012
1093,1058623.0,2013
1097,864683.0,2010
1098,864683.0,2011
1099,864683.0,2012
1100,864683.0,2013
1101,897067.0,2008
1102,897067.0,2009
1103,897067.0,2010
1104,897067.0,2011
1107,885306.0,2009
1108,885306.0,2010
1109,885306.0,2011
1110,885306.0,2012
1111,885306.0,2013
1112,743669.0,2008
1113,743669.0,2009
1115,743669.0,2011
1116,743669.0,2012
1117,743669.0,2013
1119,1061983.0,2009
1120,1061983.0,2010
1121,1061983.0,2011
1122,1061983.0,2012
1123,1061983.0,2013
1127,351998.0,2011
1128,351998.0,2012
1129,351998.0,2013
1132,792130.0,2010
1133,792130.0,2011
1134,792130.0,2012
1135,792130.0,2013
1137,1259045.0,2008
1139,1259045.0,2010
1141,1259045.0,2012
1142,1259045.0,2013
1144,1620601.0,2013
1145,945764.0,2008
1146,945764.0,2009
1147,945764.0,2010
1148,945764.0,2011
1149,945764.0,2012
1150,945764.0,2013
1152,28154.0,2009
1153,28154.0,2010
1154,28154.0,2011
1155,28154.0,2012
1156,28154.0,2013
1160,892160.0,2011
1161,892160.0,2012
1162,892160.0,2013
1167,730464.0,2008
1169,730464.0,2010
1170,730464.0,2011
1171,730464.0,2012
1172,730464.0,2013
1175,924940.0,2010
1178,1089063.0,2010
1179,1089063.0,2011
1180,1089063.0,2012
1181,1089063.0,2013
1184,707388.0,2010
1185,707388.0,2011
1186,707388.0,2012
1187,707388.0,2013
1190,934448.0,2010
1191,934448.0,2011
1195,853695.0,2010
1197,1226308.0,2008
1198,1226308.0,2009
1199,1226308.0,2010
1200,1226308.0,2011
1201,1226308.0,2012
1202,1226308.0,2013
1203,708850.0,2008
1204,708850.0,2009
