year,cik
2009,831547
2009,1017968
2009,1016169
2009,1017673
2009,1019737
2009,1013488
2013,1047340
2009,1019695
2009,1019849
2009,912183
2009,1021860
2009,830656
2009,1006837
2009,1018946
2009,1021561
2009,1024657
2009,1023313
2009,1022321
2009,944508
2013,924822
2009,1022469
2009,1023131
2009,1024732
2009,1023128
2009,1000753
2009,1020214
2013,926282
2009,1026650
2009,1027207
2009,1027915
2009,845818
2009,849869
2009,1029299
2013,896262
2009,891293
2009,1029199
2009,1016546
2009,1031623
2009,1029023
2009,1019034
2009,1034755
2009,1011570
2013,922717
2009,917273
2009,912888
2009,1018724
2009,1030896
2009,1034239
2009,1036262
2013,919013
2009,1035983
2009,1389050
2009,1038133
2009,924515
2009,941604
2009,1038223
2009,1070985
2013,20232
2013,916540
2009,1037976
2009,1035884
2009,1039184
2009,1040593
2009,1040426
2013,908937
2009,1039151
2009,1043382
2009,1042783
2009,1041061
2009,917491
2009,852570
2013,861884
2009,1030484
2009,1036044
2009,70487
2009,1043337
2013,928421
2009,1038280
2009,1036960
2009,1108967
2009,1041954
2009,1043533
2009,1031203
2009,1043000
2009,949874
2009,1037646
2009,1043509
2009,1015155
2009,1011509
2009,1037649
2009,883107
2013,925645
2009,1005201
2009,1046257
2009,833640
2009,849240
2009,1047166
2009,1281696
2009,1087934
2009,814250
2009,1047881
2009,1041024
2009,1014473
2009,1050915
2013,928658
2009,1050377
2009,1052100
2009,948072
2009,1044777
2009,1054374
2013,925528
2009,1053507
2009,1050797
2009,1022646
2009,1083522
2009,1052595
2013,216539
2009,1053650
2009,1028087
2009,1056696
2009,1047127
2009,1052054
2009,1054905
2009,1054102
2009,1051627
2009,1016125
2009,1084876
2009,1092083
2009,1058290
2009,1046880
2009,934473
2013,932111
2009,1058623
2009,1047699
2009,1059562
2009,1060391
2009,1062478
2009,907562
2009,1065059
2009,31347
2013,931584
2009,1061219
2009,1056358
2009,1091735
2009,1056923
2009,1034088
2009,1042173
2009,1051470
2009,1065860
2009,1032863
2013,914577
2009,1065049
2009,1065088
2009,1041379
2009,1046995
2009,1070423
2013,931948
2009,1068875
2009,913756
2009,927720
2009,1062231
2009,1072343
2009,1067837
2009,1065087
2009,1066104
2009,1073431
2009,1023364
2009,1049502
2013,922475
2009,1075531
2009,1069878
2009,1076405
2009,850579
2009,1066605
2009,1070412
2009,1080099
2009,1301611
2009,1080056
2013,1096376
2009,1057758
2009,929008
2009,1090514
2009,1075607
2009,1073429
2009,1065736
2009,1275283
2009,1063254
2009,1065837
2009,1082554
2009,1078099
2009,1082923
2009,1083712
2009,1043604
2009,1050606
2013,868278
2009,1059324
2009,1065332
2009,1086195
2009,1084048
2009,1069202
2009,1085869
2013,932696
2009,1086600
2009,1088033
2009,1058299
2009,1086939
2009,1142701
2009,1056386
2009,1003214
2009,1091883
2009,1057083
2009,1091801
2009,1091907
2009,1054721
2009,1086222
2009,1094084
2009,1089872
2009,1077183
2013,934648
2009,1069394
2009,1040896
2009,1069258
2009,1324424
2009,1093885
2009,1094007
2013,935036
2009,1086740
2009,1095315
2009,1062292
2009,1428156
2009,1096199
2009,1090403
2009,1014672
2009,1074909
2009,1068796
2009,1076481
2009,75677
2009,846475
2009,1098659
2009,1098972
2009,1099160
2009,1094348
2009,1049210
2013,935494
2009,1058444
2009,1100917
2009,1087432
2009,1101169
2009,1099800
2009,1098277
2013,1363851
2009,1033905
2009,1080034
2009,1076167
2009,1095565
2009,1104855
2009,1062822
2009,1102993
2013,899647
2009,1104252
2009,1102741
2009,1097864
2009,1040161
2009,1105982
2009,20520
2009,1173489
2009,1108058
2009,1104506
2009,1094058
2009,1111335
2009,1035267
2009,1037760
2009,1107332
2009,1109189
2009,1100682
2013,1400891
2013,940332
2009,1075656
2009,1101302
2009,1113232
2009,1109116
2009,1108205
2013,944148
2009,1040416
2009,1109354
2009,1044435
2009,1113481
2009,1111665
2009,1101239
2009,1111632
2009,1059556
2009,1116942
2008,926617
2009,1082038
2009,1170154
2009,1098482
2013,914329
2009,1092662
2009,1118941
2009,1120295
2009,1037016
2009,750199
2009,1126294
2009,1084554
2009,1022652
2009,1122342
2009,1124140
2009,1341470
2009,1097149
2009,864559
2009,37748
2009,1121788
2013,1507934
2009,1443799
2009,1123494
2009,1029142
2009,1129623
2009,1103078
2009,1109879
2009,1126975
2009,1121484
2009,1125057
2013,912752
2009,1092289
2009,1064728
2009,1129155
2009,109758
2009,1135152
2009,1123979
2009,1103982
2009,926326
2013,944075
2009,1135017
2009,50710
2009,1101215
2009,1140536
2009,1092914
2009,1004673
2009,1144331
2009,1141103
2009,1144519
2009,878526
2009,1120914
2009,1142750
2009,1136869
2009,1144980
2013,1172222
2009,1133260
2009,1166003
2009,1156039
2009,1064863
2009,1071739
2013,945114
2009,817979
2009,1099918
2009,1141240
2009,1159281
2009,1424847
2013,943452
2009,1120970
2009,1158324
2009,1161154
2009,1158463
2009,1112920
2009,1171012
2009,1323115
2009,1166291
2009,1065280
2013,934549
2009,1168696
2009,1159154
2009,1162556
2009,1126216
2009,1169445
2009,1130713
2009,1093649
2013,945983
2009,1478085
2009,1372020
2009,1022345
2009,922863
2009,1378453
2009,1039399
2013,945989
2009,1138951
2009,1171759
2009,1096788
2009,1166036
2009,1164863
2009,1156375
2009,1165002
2009,1174527
2013,944480
2009,1142417
2009,1174922
2009,1120193
2009,1157762
2009,1131227
2009,1084991
2013,946486
2009,1140098
2009,1144320
2009,1136174
2009,1159036
2009,892986
2009,1383183
2009,1179929
2009,1094572
2009,1191857
2009,1160858
2013,931148
2009,1210708
2009,1270400
2009,1053374
2009,1226308
2009,1122904
2009,1183186
2009,1108827
2009,1172852
2009,1220754
2013,1295810
2009,894081
2009,1065696
2009,1192305
2009,1035748
2009,1008848
2009,1266719
2013,930420
2009,1206264
2009,1292900
2009,1404592
2009,1227654
2009,1262200
2009,1062449
2009,1257640
2009,1128495
2013,21344
2013,917520
2009,1267097
2009,1140486
2009,1224133
2009,1095277
2009,1172480
2009,1169264
2009,1061983
2013,892222
2009,1165231
2009,1268984
2009,1076195
2009,1096339
2009,1274057
2009,1182129
2013,946454
2009,899460
2009,1288403
2009,1089638
2009,1289460
2009,1111247
2009,1289863
2009,1048685
2009,1289850
2009,1142512
2009,1050550
2013,948708
2009,1290900
2009,1080014
2009,1262823
2009,884219
2013,893949
2009,1259550
2009,1297720
2009,1280452
2009,1296445
2009,1239188
2009,1299033
2009,1144354
2009,1294538
2013,920321
2009,1298341
2009,1298978
2009,1302028
2009,1300514
2009,932372
2009,1289848
2013,949158
2009,1305168
2009,1304421
2009,1297704
2009,1342958
2009,1306830
2009,1296435
2009,1320934
2009,1308208
2013,1076930
2009,1271940
2009,1089748
2009,1303313
2009,1301063
2009,1297989
2009,1288359
2009,1277092
2009,1320854
2009,1130591
2009,1318084
2009,1093557
2009,1324479
2009,1315695
2009,1315257
2009,1302707
2009,1479920
2009,1319229
2009,778164
2013,215466
2013,949039
2009,1265888
2009,1286613
2009,1317630
2009,1104042
2009,1322439
2009,1318310
2009,1320461
2009,1315255
2009,1114714
2009,1104349
2009,1324189
2009,1323885
2009,1324272
2009,1095291
2009,1322734
2009,1130866
2009,1323715
2013,945841
2009,1326200
2009,1103025
2009,1323468
2009,1325955
2009,1316656
2009,1324570
2009,1320695
2009,1205727
2013,949699
2009,1273441
2009,1316898
2009,1011835
2009,1051514
2009,1329919
2009,1331301
2013,927066
2009,1307752
2009,1333513
2009,1334478
2009,1364885
2009,712034
2009,1340041
2009,1334544
2009,1281774
2013,1000228
2009,1330849
2009,1131324
2009,1333170
2009,1332349
2009,1334978
2009,885306
2009,1335793
2009,1325281
2009,1334036
2013,855683
2009,1336047
2009,1336917
2009,1071625
2009,1162862
2009,1134203
2009,1344596
2009,1325460
2013,1000180
2009,1338065
2009,1324759
2009,1323653
2009,1276187
2009,1339048
2009,1339947
2009,1338613
2009,943184
2013,1000623
2009,1285043
2009,1339455
2009,1292470
2009,1328571
2009,1340122
2009,1339553
2009,1058090
2009,1136893
2013,1001288
2009,1260625
2009,1340282
2009,1340752
2009,1345840
2009,1344980
2009,1345122
2009,1344413
2013,1002225
2009,1347178
2009,1368007
2009,1131554
2009,1353209
2009,1354513
2009,1324105
2013,927003
2009,1354217
2009,1356949
2009,1070336
2009,1282648
2009,1320414
2009,1357615
2009,1357326
2009,1333493
2009,1158895
2009,1347452
2009,1337013
2009,1342960
2009,1350381
2009,1364099
2009,1362004
2009,1360886
2013,1000697
2009,1361658
2009,1360901
2009,1361983
2009,1178879
2009,1362491
2009,1130258
2009,1298521
2009,1364541
2009,1323854
2009,1341766
2009,1362705
2009,1365216
2009,1125920
2009,1274494
2009,1010286
2009,1354942
2013,949870
2009,1333248
2009,1121702
2009,1160791
2009,1144945
2009,1366868
2009,1113148
2009,1361538
2009,7431
2009,1367396
2013,1001902
2009,1367064
2009,1370314
2009,1368900
2009,1444598
2009,1171298
2009,1361579
2009,1111928
2009,1276591
2009,1269871
2009,1367644
2009,1371781
2009,1313024
2009,1373980
2009,1158223
2009,1364100
2009,1374535
2009,1371489
2009,1375557
2009,1375247
2009,1373671
2009,1372664
2009,1368265
2009,1371011
2009,1356104
2009,1140215
2009,1377630
2009,1168195
2009,1380509
2013,21535
2013,1000694
2009,1142576
2009,1385544
2009,1379661
2009,1381531
2009,1366246
2009,1372041
2009,1382911
2009,1381325
2009,1314772
2009,1349436
2009,1466815
2009,1385292
2009,1385280
2009,1388430
2009,1385830
2009,1293282
2013,1091596
2009,1317872
2009,1389305
2009,1175609
2009,1389545
2009,1244937
2009,1138639
2009,1232524
2013,877890
2009,1422105
2009,1391127
2009,1320760
2009,1335293
2009,1378846
2009,1391390
2009,1392972
2009,894158
2009,1376556
2009,1163698
2009,1358071
2009,1388195
2009,1390844
2013,1000683
2009,1131096
2009,1393883
2009,1392091
2009,1394159
2009,1296205
2009,1396838
2009,1398659
2009,1099590
2009,1124610
2009,1087294
2009,1360530
2009,816761
2009,1398664
2009,1210618
2009,1397821
2009,1405277
2009,1253955
2009,1376812
2009,1230355
2009,1405287
2009,1138412
2009,1105184
2013,1003642
2009,1292653
2009,1365790
2009,1201792
2009,1405073
2009,1125376
2009,1334303
2009,1396033
2009,1393744
2009,1403853
2013,1000229
2009,1410838
2009,1410172
2009,1402305
2009,1227930
2009,1254419
2009,1117106
2009,1402829
2013,21665
2009,1415404
2009,1120370
2009,1413898
2009,1411861
2009,1425565
2013,1001838
2009,1420302
2009,1418135
2009,1421517
2009,1407463
2009,1469510
2009,1421182
2009,1401688
2009,1414475
2013,910267
2009,1421461
2009,1426945
2009,1208208
2009,1434588
2009,1260996
2009,1368308
2009,1434620
2009,1434729
2009,718877
2009,1434621
2009,1433660
2009,1473597
2009,1441849
2009,1167178
2009,700923
2009,1442145
2009,1437226
2009,1452575
2009,1351285
2009,1442505
2009,1441236
2009,1453814
2009,1125914
2009,843006
2009,1468328
2013,1003130
2009,1462418
2009,1469433
2009,1468174
2009,1262039
2009,1373988
2009,1470699
2009,1418819
2009,1082754
2009,1474735
2013,933738
2009,1468516
2009,1471261
2009,1446847
2009,1453593
2009,1366649
2013,1591877
2009,1314475
2009,1095981
2009,1138118
2009,1279363
2009,1280058
2009,1178670
2009,1274913
2013,1034760
2009,1106942
2009,1235010
2009,1050180
2009,902622
2009,1261888
2009,1389072
2013,884269
2009,1337298
2008,6201
2008,7286
2008,1800
2013,315293
2008,2098
2008,2186
2008,2488
2008,766421
2008,3453
2013,1006045
2008,3673
2008,773840
2008,4447
2008,701345
2008,789073
2008,700721
2008,744825
2008,5981
2008,1037868
2008,318154
2008,731859
2008,821026
2008,1163739
2008,7039
2008,894405
2008,7536
2008,8063
2008,1004155
2008,201653
2008,8818
2008,8868
2008,9092
2008,9263
2008,808362
2008,9326
2008,9389
2008,9892
2008,9984
2013,899866
2008,729580
2008,11199
2013,887921
2008,722104
2008,12355
2008,314808
2008,1001606
2008,12927
2008,12978
2013,1004989
2008,1035675
2008,1393066
2008,14272
2008,14930
2008,1104657
2008,934612
2013,880804
2008,15615
2008,18396
2008,277948
2008,26058
2013,949373
2008,1035201
2008,16873
2008,790051
2008,1094093
2013,1020569
2008,18672
2008,18808
2008,18926
2008,19411
2013,940942
2008,215419
2008,19745
2008,749647
2008,313927
2008,20212
2013,1102541
2008,20232
2008,716133
2008,1400891
2008,764065
2008,21344
2008,215466
2008,21535
2008,21665
2008,315293
2008,1166691
2008,723612
2008,23111
2013,1447028
2008,23675
2008,732834
2008,1141982
2008,24491
2008,24545
2008,24741
2013,1007330
2008,1219601
2008,26172
2008,26324
2008,714603
2008,26780
2008,313616
2008,351998
2008,799165
2008,27430
2008,27904
2008,27996
2013,946644
2008,28823
2008,722313
2008,29002
2008,29332
2008,29669
2013,1007587
2008,29806
2008,29834
2008,29905
2008,29989
2008,30554
2008,30305
2008,1326160
2008,30625
2008,30828
2008,31791
2008,350846
2008,31978
2013,1008817
2008,32198
