cik,year,Cos_Sim
1800.0,2008,0.3516798907029086
1800.0,2010,0.3777444867809286
1800.0,2011,0.3914938220350069
1800.0,2012,0.40078748102140915
1800.0,2013,0.34747225037582247
2098.0,2010,0.3688485294555241
2098.0,2011,0.35359085329519696
2098.0,2012,0.3474047132186643
2098.0,2013,0.3418207722606299
2186.0,2011,0.5202441333244862
2488.0,2008,0.39403447077763254
2488.0,2009,0.37728424018404194
2488.0,2010,0.37857576007984883
2488.0,2011,0.3690559054514119
2488.0,2012,0.3930155571000916
2488.0,2013,0.4069539455007128
3116.0,2010,0.39504602785341686
3116.0,2011,0.4870001896537095
3116.0,2012,0.5186979345242628
3116.0,2013,0.5388319202543991
3197.0,2011,0.36850112981914
3197.0,2012,0.3948623039821915
3197.0,2013,0.4502604492107429
3673.0,2008,0.47067184173831694
3673.0,2009,0.5014751083025886
4187.0,2011,0.3488653552528995
4447.0,2008,0.47155009344561066
4447.0,2010,0.46199217842504436
4447.0,2011,0.46154844520801996
4447.0,2012,0.47680183732546627
4447.0,2013,0.5187458440310571
4904.0,2013,0.4139099699043356
5981.0,2008,0.43217159867668514
5981.0,2009,0.46975785430050093
5981.0,2011,0.4897789621185721
5981.0,2012,0.5058436773575479
5981.0,2013,0.44696424736299245
6201.0,2008,0.39555772555134955
6201.0,2009,0.4098661937023391
6201.0,2010,0.4061834669733076
6292.0,2011,0.3315823370207178
6292.0,2012,0.2957167322674217
7039.0,2011,0.4284152969707211
7039.0,2013,0.3958044629499985
7084.0,2013,0.4267887325082007
7332.0,2008,0.4008083660442742
7332.0,2009,0.46923878371200967
7332.0,2012,0.3127367566848286
7332.0,2013,0.33642912037380795
7431.0,2008,0.520521330969427
7431.0,2009,0.514832891766482
7431.0,2010,0.52658869522281
7431.0,2011,0.4884565933824387
7431.0,2012,0.5001034876977279
7431.0,2013,0.4629958341135011
7536.0,2008,0.3098679572181278
7536.0,2009,0.3073352155587407
7536.0,2010,0.2842158122528859
7536.0,2011,0.29586632222461556
7536.0,2012,0.30952625981297566
7536.0,2013,0.319147118058168
8063.0,2011,0.36463160156205376
8063.0,2012,0.3537840427330171
8818.0,2008,0.44999188080979835
8868.0,2008,0.41881309421340784
8868.0,2010,0.3806571525858025
8868.0,2011,0.33730954154144477
8868.0,2012,0.33121219334683666
8868.0,2013,0.3905961041710757
9092.0,2009,0.3841220571361802
9092.0,2010,0.3982519215911852
9092.0,2011,0.41501347153234147
9092.0,2012,0.4279860470110788
9092.0,2013,0.4302086150235591
9326.0,2011,0.4328888062792834
9326.0,2012,0.4293623035114074
9326.0,2013,0.47228612379626134
9389.0,2008,0.41954326756356064
9389.0,2009,0.3595477518041807
9389.0,2010,0.3518542543461444
9389.0,2011,0.3144195760099215
9389.0,2012,0.286652423900984
9389.0,2013,0.2990546746759337
9984.0,2009,0.4633424742207939
9984.0,2010,0.40293855328097555
9984.0,2011,0.48981971013645
9984.0,2012,0.4352581131752219
9984.0,2013,0.4977035161780129
10456.0,2010,0.3708996972546674
10456.0,2011,0.40383518658146333
10456.0,2012,0.40012833780141494
10456.0,2013,0.39174740196198765
11199.0,2008,0.5011317558478341
11199.0,2009,0.5650011696811832
11199.0,2011,0.414849381548527
11199.0,2012,0.47105299545273943
11199.0,2013,0.4386722733047217
12208.0,2009,0.38221091610082636
12208.0,2010,0.43706089594223374
12208.0,2011,0.40111708657745115
12208.0,2012,0.4046927078813861
12208.0,2013,0.453313854722153
12355.0,2008,0.3926528744994341
12355.0,2009,0.3646993907770853
12927.0,2008,0.44326391935762977
12927.0,2009,0.4656669980027005
12927.0,2010,0.45689184639599256
12927.0,2011,0.4364051723339231
12927.0,2012,0.4095986789145827
12927.0,2013,0.40516171079387137
12978.0,2008,0.290475543444026
12978.0,2009,0.2904465792481643
12978.0,2010,0.24375243921172202
12978.0,2011,0.24258444919144276
14272.0,2010,0.2595752436627151
14272.0,2011,0.28052571754366007
14272.0,2012,0.36621266416726106
14930.0,2008,0.4708864131459365
14930.0,2009,0.4860788192451898
